game_id,total_incercari,cuvant_gasit,status,secventa_incercari
53,16,FOLFĂIESC,OK,E A R N U T C Ă S L D M P V Ș F
54,21,OTORINOLARINGOLOGELOR,OK,E A R N U T C Ă S O D M P V Ș F Â Î Ț B G
55,22,ESTETIZANTEI,OK,I R N U T C Ă S L O D M P V Ș F Â Î Ț B G Z
56,23,BALAOACHEȘĂ,OK,E I A R N U T C S L O D M P V Ș F Â Î Ț G Z H
57,19,NOTĂRIȚĂ,OK,E I A R N U T C S L D M P V Ș F Â Î Ț
58,19,DULEȚI,OK,E I A R N U T C Ă S O M P V Ș F Â Î Ț
59,26,RICKETTSIOZEI,OK,I A R N U T C Ă L O D M P V Ș F Â Î Ț B G Z H J X K
60,4,CIREȘE,OK,E I A R
61,22,ZGĂRDAT,OK,E I A R N U T C S L O M P V Ș F Â Î Ț B G Z
62,19,PREȚIOASELOR,OK,E I A R N U T C Ă S D M P V Ș F Â Î Ț
63,24,DIMPREJUR,OK,E I A N U T C Ă S L O M P V Ș F Â Î Ț B G Z H J
64,20,BULBUCAT,OK,E I A R N U C Ă S O D M P V Ș F Â Î Ț B
65,8,ARIERDUNĂ,OK,E I A R U T C Ă
66,16,FLACIDEI,OK,E A R N U T Ă S L O D M P V Ș F
67,15,CONVENȚIONALI,OK,E I A R N U T C Ă S O D M P V
68,11,CUCONIȚĂ,OK,E I A R N U T C S L O
69,11,NELINIȘTITORULUI,OK,E I A R U T C Ă S L O
70,23,BIHINDISIRILE,OK,E I A N U T C Ă S L O D M P V Ș F Â Î Ț G Z H
71,18,ÎMPLINIREA,OK,E I A R U T C Ă S O D M P V Ș F Â Î
72,21,INSTIGÂND,OK,E A R N U T C Ă L O D M P V Ș F Â Î Ț B G
73,6,RECENTE,OK,E I A N U T
74,20,EMBLEMĂ,OK,I A R N U T C S L O D M P V Ș F Â Î Ț B
75,11,SINGURAȘUL,OK,E I A R N U T C Ă S L
76,20,SUBSECRETARULUI,OK,I A R N U C Ă S L O D M P V Ș F Â Î Ț B
77,22,DEVITALIZASERĂM,OK,I A R N U T C S L O D M P V Ș F Â Î Ț B G Z
78,22,SUBAPRECIEZ,OK,E A N U T C Ă S L O D M P V Ș F Â Î Ț B G Z
79,9,CLASATULUI,OK,E I A R N U T Ă S
80,16,FARAONICUL,OK,E I A U T C Ă S L O D M P V Ș F
81,18,ÎNROLĂRILOR,OK,E I A N U T C Ă S L D M P V Ș F Â Î
82,22,PRIMEZIU,OK,E I A N T C Ă S L O D M P V Ș F Â Î Ț B G Z
83,9,CRUCIATULUI,OK,E I R N U T Ă S L
84,21,PRODIGATELE,OK,E I A R N U T C Ă S L D M V Ș F Â Î Ț B G
85,14,VINA,OK,E I R U T C Ă S L O D M P V
86,13,CIFRARĂM,OK,E I A N U T C Ă S L O D M
87,18,ÎNFRUNTASEM,OK,E I A R N U T C Ă L O D P V Ș F Â Î
88,15,VIOȘELI,OK,E I A R N U T C Ă S L D M P V
89,16,AMUȘISERĂȚI,OK,E I A R N U T C S L O D M P V Ș
90,21,TELEGRAFIARĂ,OK,I A N U T C Ă S L O D M P V Ș F Â Î Ț B G
91,11,CITRONADELE,OK,E I R N U T C Ă S L O
92,23,BASCHETBALIȘTILOR,OK,E I A N U T C Ă L O D M P V Ș F Â Î Ț B G Z H
93,10,SEPTICUL,OK,E I A R N U T C Ă S
94,14,VENENO,OK,E I A R U T C Ă S L D M P V
95,21,GUDRONĂM,OK,E I A R N U T C S L D M P V Ș F Â Î Ț B G
96,11,CORDENCIULUI,OK,E I A N U T Ă S L O D
97,15,STROPȘIRE,OK,E I A R N U C Ă L O D M P V Ș
98,11,FOILETONIST,OK,E A R N U T C Ă S L O
99,13,PLICISERĂ,OK,E I A R N U T C L O D M P
100,23,ACHITAT,OK,E I R N U C Ă S L O D M P V Ș F Â Î Ț B G Z H
